"","Label","200.1/2925.48","205/2790.89","205.983/2787.77","207.085/2719.69","236.102/2523.29","241.124/3676.66","242.1405/3675.88","244.1/2832.37","250.124/3663.36","257.131/3650.05","264.147/3154.75","266.188/3666.49","279.011/2790.89","280.013/2787.77","281.2/3668.83","283.2/3878.54","284.1/2718.91","300.189/3391.84","301/2791.68","302.0015/2623.44","302.003/2792.46","304.1/2923.92","305.1/3502.95","305.1/2927.83","306.1/2928.61","308.113/3261.95","309.1/2923.92","309.2/3671.18","310.2/3639.88","312.1/2997.47","313/2787.76","314/2787.76","315/2520.94","316/2520.94","317/2789.33","326.2/3419.22","327.1/3504.51","328.2/3632.84","329.105/3499.82","329.2/3626.58","331.146/3484.17","332/2520.16","333/2523.29","335/2786.2","337/2520.16","338/2515.46","338.1/3022.51","338.2/3668.83","339.187/3322.98","343/2686.04","344/2684.48","345.0135/2686.04","348.183/3499.82","352.1/2792.46","353.132/3496.69","354.2/3616.41","356.2/3834.72","359.2/3722.82","361.054/2690.74","362.125/3169.61","364.2/3725.95","365/2687.61","366/2687.61","366.1/2792.46","367.2/3529.55","368.2/3530.33","372.2/3276.03","376.2/3722.04","379.129/3333.93","380.1/3155.53","381.105/3154.75","382.1035/3248.64","385.138/3179","389.1965/3355.84","390.1925/3355.84","395.2/3720.48","396.196/3329.24","398.2/3343.32","399.1/2798.72","400.2/3610.93","413.1/3625.8","414.1955/3061.63","416.1/2687.61","424.2/3443.48","426.1/3017.03","426.2/3639.88","429.2/3886.36","430.1/2688.39","430.2/3886.36","431.105/2687.61","433.193/3817.5","436.197/3625.01","439.162/3451.3","444.1/2687.61","447.2/3870.71","448.2/3870.71","448.2/3440.35","452.1/3077.28","454.1045/3293.24","458.2/3044.42","462.2/3277.59","464.2/3466.95","465.2/3466.17","466.2/3694.65","467.2/3694.65","468.2/3132.05","478.2/3625.01","482.2/3606.24","483.2/3606.24","484.1985/3605.45","492.2/3664.14","494.196/3430.96","494.2/3135.18","496.2/3380.1","497.2/3380.1","498.2/3395.75","499.189/3407.49","502.103/3169.61","503.103/3169.61","506.1965/3394.97","507.2/3393.4","508.2/3529.55","509.2/3529.55","510.2/3775.25","510.2/3528.77","511.2/3776.82","518.2/3416.09","520.2/3234.56","521.2/3235.34","522.2/3404.36","523.2/3404.36","524.2/3704.83","525.2/3719.69","526.1/3179","527.1/3176.66","528.1205/3183.7","528.145/3236.91","530.2/3355.84","531.2/3355.84","532.2/3490.43","532.2/3355.84","533.2/3490.43","534.2/3591.37","534.3/3866.8","535.2/3591.37","536.2/3719.69","537.2/3719.69","544.2/3204.82","545.2/3204.04","548.1/3185.26","550.2/3665.7","551.2015/3643.01","556.2875/2912.96","564.2/3460.7","566.2/3582.76","568.2/3211.87","568.3/3620.32","569.2/3210.3","570.2/3204.04","572.2/3401.23","580.109/2792.46","580.2/3390.27","580.197/3587.46","590.291/3003.73"
"ko15","KO",147887.526,1778568.944,237993.621,380873.049,252282.035,32645.1925,280767.61,612169.852,347794.775,188817.16,32645.1925,379553.6,16540436.174,2942032.958,2772936.699,414367.555,733321.817,4534353.623,2739847.255,643996.186,494305.841,1948205.599,557848.321,994373.818,215368.057,312927.856,820897.837,474829.718,224688.464,293193.907,1704155.432,388253.14,32645.1925,32645.1925,554864.609,4809521.448,32645.1925,6463382.867,32645.1925,1521141.362,32645.1925,32645.1925,32645.1925,382769.556,32645.1925,32645.1925,396319.791,614212.525,32645.1925,20269361.92,4426345.384,703795.376,456678.246,265882.993,223895.037,1135610.95,1189376.085,462141.393,2206508.131,312079.199,32645.1925,12540961.989,2864111.74,652282.583,2734570.633,841651.138,32645.1925,162499.44,606273.861,32645.1925,32645.1925,32645.1925,1137379.056,32645.1925,348186.255,32645.1925,212417.291,32645.1925,517279.867,32645.1925,778922.184,252452.207,439237.663,32645.1925,792979.176,32645.1925,580907.655,1911680.018,32645.1925,559442.451,487331.827,375812.224,865853.723,32645.1925,1440194.377,480186.859,32645.1925,2293581.69,12268923.92,347732.419,32645.1925,9624482.182,2655185.847,3738130.266,986922.616,254514.74,1369781.956,2000566.022,1910356.151,369011.077,606211.915,1529021.074,484938.066,39936950.328,10939308.402,2137484.052,230905.243,16972821.72,4810844.094,4958426.503,1492306.708,40421850.424,11501353.745,1800050.55,3214977.521,540843.34,32645.1925,1023937.238,550941.821,37549675.526,10737841.324,30259398.361,8969329.21,18285754.953,5493533.72,2292681.17,899080.804,20771850.825,6444674.219,3416165.851,32645.1925,1058079.954,2558524.6,227348.111,866274.45,7608849.498,2370711.456,3224455.117,1037062.452,758915.779,11943436.988,3992311.754,297420.425,495463.924,721879.103,3513594.792,327279.962,1176918.668,205973.944,323601.382,549471.191,375029.313,421946.514,463223.635
"ko16","KO",451600.713,1567038.138,269713.984,460629.738,206031.927,1318746.569,248792.381,256316.47,238893.441,224010.073,185347.325,32645.1925,12335891.685,2199151.679,2553705.347,880917.955,939243.852,32645.1925,1732887.914,790351.629,319649.89,1198308.819,990038.126,888256.44,409645.01,1931395.444,32645.1925,357127.85,232015.945,263174.512,6856948.35,1499485.012,32645.1925,32645.1925,154072.685,3931304.635,275564.807,5630552.384,367926.805,1315446.892,490815.3,32645.1925,32645.1925,1344842.912,32645.1925,32645.1925,441040.469,605655,3533684.346,21948623.136,4808488.303,744691.643,32645.1925,181651.115,261258.573,904522.365,2242782.412,616424.641,32645.1925,32645.1925,233404.075,13086927.332,2952706.017,553363.19,2693665.498,730786.342,5201100.804,219938.408,1073198.75,1911798.731,412013.018,1242416.706,32645.1925,1140158.589,335515.3,421290.991,418476.316,2909672.143,32645.1925,32645.1925,855168.641,352227.449,508248.314,32645.1925,843517.44,32645.1925,238723.331,2124743.955,32645.1925,32645.1925,518192.119,32645.1925,875625.286,304396.916,4874466.866,32645.1925,2336776.523,1954888.436,10171632.072,588548.105,32645.1925,9579511.71,2583915.229,3551395.169,1099746.423,32645.1925,1224491.998,7566667.904,2037483.181,386938.141,598203.048,1125753.182,32645.1925,42070333.113,11328466.649,2123313.892,216300.193,15739987.308,4456402.123,32645.1925,1282636.745,37407862.584,10457527.331,8684160.76,32645.1925,2459948.845,1211914.85,1542786.695,261307.087,34931818.709,10442651.806,27967461.635,7119784.197,18101290.883,5331955.517,3721666.257,32645.1925,17944520.216,5629492.05,2821638.085,1218999.434,892119.553,2094532.267,1598952.503,663227.375,6678458.216,2162158.953,2828155.32,938167.42,769992.376,12395719.22,4149319.962,2346051.413,32645.1925,32645.1925,3382320.175,1822905.468,1169376.024,232350.855,322391.075,32645.1925,32645.1925,32645.1925,1450836.053
"ko18","KO",65290.385,1482796.385,201393.415,351750.138,71763.791,1215368.739,32645.1925,90539.861,248245.61,227798.27,165143.892,325662.757,14683487.664,2579250.433,32645.1925,1102490.173,650687.012,5290739.139,2330865.115,444524.047,450510.294,1243865.552,1523254.273,1063314.667,246498.779,32645.1925,490685.201,375113.818,160971.414,296169.419,897619.326,171070.657,3525288.079,719323.363,355561.335,2913711.547,465617.921,4398403.515,409585.085,990625.769,284019.33,4658831.111,927289.219,190478.179,4073677.526,795295.07,411133.583,622113.93,3243829.359,17930719.644,3954886.762,602322.945,32645.1925,227777.569,32645.1925,832780.32,1535138.251,407618.335,32645.1925,32645.1925,217897.203,11725804.629,2484968.458,747021.663,2455930.088,636622.748,3894763.174,32645.1925,32645.1925,1717570.346,365480.255,1084915.218,32645.1925,1008373.968,282058.763,354284.247,32645.1925,1885559.466,264044.7,32645.1925,665025.144,32645.1925,32645.1925,1745629.799,588996.111,32645.1925,574589.75,2487771.171,193756.39,718791.792,32645.1925,32645.1925,32645.1925,32645.1925,3731989.112,1132937.722,1348832.764,1448580.318,8239735.845,32645.1925,32645.1925,32645.1925,2123612.111,3135583.898,860519.056,341179.963,1694280.046,7111090.856,1856083.602,32645.1925,530440.61,717880.644,511740.215,41242993.991,11083558.835,1492764.258,32645.1925,12729848.491,3582621.256,32645.1925,32645.1925,31180104.285,8806212.061,6453425.432,32645.1925,1873350.748,1259788.409,1541851.966,230073.867,32349644.832,9401756.374,25558248.477,7592426.653,15464033.134,4631745.743,908799.329,1475902.283,15174656.611,4627131.484,2683680.02,960732.195,835934.286,1856769.356,32645.1925,594251.204,5219486.479,1564902.302,2788004.866,921066.988,738224.255,10267865.655,3354548.728,227810.118,403730.496,330110.364,3575867.178,181116.054,1238845.201,32645.1925,369754.119,469956.825,212356.599,32645.1925,32645.1925
"ko19","KO",32645.1925,1039129.818,150107.31,32645.1925,32645.1925,632037.425,109019.428,32645.1925,126623.762,131171.36,32645.1925,245240.897,9660238.214,1711820.032,1521876.399,485863.613,550520.829,32645.1925,1185809.878,385833.771,32645.1925,1045968.567,748182.725,1096130.206,247480.005,32645.1925,258387.33,32645.1925,32645.1925,32645.1925,1642799.372,390983.008,5071743.224,1097369.932,32645.1925,2819100.93,263114.601,3085430.381,291867.379,707798.716,32645.1925,7614619.505,1587224.131,255464.745,4153687.178,868056.232,212310.15,335737.549,2482697.105,15378115.294,3374426.072,508404.36,32645.1925,32645.1925,124798.503,532867.709,932580.306,285184.521,32645.1925,32645.1925,32645.1925,7176350.082,1546876.715,818030.943,1617637.175,457324.644,3037266.136,131973.33,32645.1925,1756725.233,390842.162,944606.183,903258.9,32645.1925,188020.918,32645.1925,794110.403,1376143.44,347198.38,12036678.871,120558.373,32645.1925,32645.1925,961030.38,282697.263,10283077.712,488037.315,3076213.271,32645.1925,910517.598,32645.1925,32645.1925,505118.471,250968.947,2248041.666,32645.1925,1175355.33,824219.305,4480131.326,237943.185,743806.708,32645.1925,1673537.352,2367438.197,662154.178,32645.1925,1268675.596,4489166.011,1183593.902,236337.871,334754.269,32645.1925,375367.342,36504411.014,9940917,1334981.345,32645.1925,8332544.139,2355995.249,2358940.343,721120.28,20421455.683,5722394.978,1874392.245,1053566.632,526870.117,1089064.388,648773.971,32645.1925,27923233.104,8138346.224,18530208.397,5497723.664,11084285.094,3393948.222,645535.615,819135.085,9541865.216,2924720.725,1201967.391,32645.1925,415531.059,786136.614,32645.1925,272570.886,1914597.389,591917.298,2437816.512,777892.826,641591.346,6087265.595,1965469.079,563493.969,310207.519,398129.634,32645.1925,32645.1925,1084157.978,32645.1925,274460.31,32645.1925,32645.1925,32645.1925,32645.1925
"ko21","KO",32645.1925,1223132.352,176989.653,32645.1925,186660.976,32645.1925,32645.1925,32645.1925,32645.1925,32645.1925,32645.1925,143129.524,11775210.24,2118031.592,1061126.819,32645.1925,432174.12,4733236.08,1908462.973,399591.811,350811.965,1419171.778,643288.347,1246073.693,265343.086,32645.1925,570486.873,83873.045,131799.346,243862.619,806366.754,178926.45,3617315.622,795085.551,32645.1925,3284987.281,32645.1925,3289887.968,259407.677,759301.22,320962.881,4486091.846,933164.794,163243.313,4365319.814,870134.048,341346.32,364966.684,2321804.123,15793756.459,3500474.555,553315.796,32645.1925,32645.1925,128120.892,570306.904,1206594.765,437009.158,32645.1925,32645.1925,187667.239,9905615.661,2118036.49,942350.697,1607496.27,441341.213,2934672.465,141468.112,1075704.376,1765811.493,371351.68,846849.935,877203.971,659322.263,32645.1925,146232.058,372788.872,1441434.458,32645.1925,6745245.849,156926.662,32645.1925,32645.1925,1348980.002,231450.98,6937764.438,1374609.08,2957369.111,443495.875,844283.423,378265.467,32645.1925,32645.1925,214580.687,1764225.355,32645.1925,1012971.603,774503.242,4817625.801,32645.1925,914624.248,5782601.985,1500152.908,2793018.196,740599.63,301389.026,1376508.979,4661342.123,1225570.548,32645.1925,407576.762,413482.328,400462.88,33423457.461,9116097.192,1338427.485,149785.807,8505189.924,2417541.782,2029890.836,640276.427,20618865.558,5919454.303,2452518.254,1168207.269,727804.021,32645.1925,1265190.915,204511.07,26440148.786,7732434.208,21509131.857,6413462.778,10534823.293,3218986.304,617227.235,678049.888,9300900.108,2830861.141,862777.381,32645.1925,278404.523,670008.303,1145940.855,210969.345,2338714.917,712216.088,2267362.158,704007.223,600716.746,4081919.914,2335411.556,32645.1925,373670.929,864560.704,2520927.04,166357.035,885024.39,32645.1925,278056.719,351453.615,630636.789,539466.436,32645.1925
"ko22","KO",162012.439,1072037.698,32645.1925,235022.626,198804.282,561964.932,32645.1925,115505.42,118626.972,32645.1925,195963.039,196007.901,10293898.28,32645.1925,1272520.879,479697.692,524801.288,3931592.586,1339885.151,454476.256,251603.271,1626956.843,635215.267,1214950.019,32645.1925,32645.1925,32645.1925,32645.1925,128400.294,264121.306,32645.1925,32645.1925,723199.466,179512.956,109807.662,4346409.704,202417.739,2626186.414,211961.166,605854.743,307401.047,1136008.96,32645.1925,32645.1925,1023976.582,218742.586,356067.78,356312.811,2311412.824,17800198.05,3862062.163,600422.534,140879.929,32645.1925,106673.072,729939.966,823710.047,413134.28,2088472.472,244520.045,160307.879,8655442.522,1929729.097,771053.995,1598231.739,438156.527,2365565.977,32645.1925,1466693.713,2609852.528,398323.594,1212011.093,760969.05,724902.054,216997.532,158797.283,603055.047,1130981.8,32645.1925,5488584.308,327900.844,276920.272,263207.049,586789.619,120684.85,6091112.209,1573595.457,3015873.974,536046.68,847285.749,32645.1925,179091.586,32645.1925,225079.872,1860855.213,591727.547,604947.264,32645.1925,3703141.218,309530.795,949825.105,5812679.369,1540065.508,2518763.042,685996.876,293268.007,1760947.017,3662907.57,993675.713,32645.1925,418373.733,499798.081,439382.29,24217795.208,6543261.182,1430025.396,32645.1925,32645.1925,2180178.981,1957167.721,599263.949,18146962.516,5185408.028,2067843.299,1113472.825,589466.734,712054.885,1352802.577,201942.373,27297176.429,8048074.35,13700836.69,4142023.451,8653660.843,32645.1925,32645.1925,504601.629,9471327.792,2927312.286,669078.176,595262.502,32645.1925,634951.858,1197762.008,216769.379,2237706.63,686987.491,2387387.563,32645.1925,515862.46,3927026.778,2228739.406,174975.495,319110.654,731744.782,2351740.307,104334.628,769184.151,154042.176,328882.465,260395.801,32645.1925,426974.373,32645.1925
"wt15","WT",175177.079,1950287.489,276541.849,417169.585,253791.071,1468102.639,280260.239,627834.975,281745.027,257809.429,32645.1925,32645.1925,18747984.366,32645.1925,2219966.33,32645.1925,878794.63,349660.885,2844473.376,667080.725,525006.296,1675019.507,1196708.953,1681341.894,362282.186,209238.895,655900.741,406958.042,272303.463,241411.911,915830.649,165809.823,32645.1925,32645.1925,623123.966,259229.273,356507.684,402409.001,432441.76,114347.574,839861.297,32645.1925,32645.1925,32645.1925,32645.1925,32645.1925,364577.282,557322.1,3467091.654,22065406.826,4933534.99,763241.947,284864.719,269970.65,32645.1925,112167.159,181130.138,370926.014,2461531.844,292404.156,371077.15,13169757.888,2914143.21,722235.73,2784614.706,866902.619,32645.1925,32645.1925,798946.392,1074832.193,32645.1925,544489.262,32645.1925,1231191.857,32645.1925,32645.1925,289612.709,32645.1925,541969.995,32645.1925,389790.514,784648.344,470797.966,32645.1925,821819.408,32645.1925,775416.81,2006604.232,246396.73,589107.862,747277.232,383207.742,812861,32645.1925,1142399.92,506906.856,32645.1925,2491178.837,12986144.64,1742958.735,32645.1925,8298241.378,2225149.452,1963051.96,533336.667,32645.1925,1870118.095,6653868.614,1875261.185,285351.852,32645.1925,1526066.444,512972.533,43226701.681,11622740.767,2332354.24,251453.419,16450453.93,4778155.418,5639064.187,1603957.095,43677357.537,12222713.19,2384322.977,3173146.625,703755.379,861712.01,805882.167,32645.1925,34908726.602,10189816.992,21262920.363,6306344.948,20886730.85,6069048.088,1121942.067,32645.1925,21616404.145,6551976.416,5061891.108,1425010.05,1563205.301,2168827.08,122926.129,704656.296,4689884.352,1448402.608,3111678.749,1004782.283,32645.1925,8462248.032,2705882.278,237945.079,483380.926,32645.1925,4441771.336,32645.1925,1498906.589,349524.735,308131.285,637791.543,571668.41,469043.684,4560396.434
"wt16","WT",82619.48,1466780.6,32645.1925,32645.1925,32645.1925,1594705.061,299453.212,32645.1925,336058.763,220890.756,129476.973,534034.479,12952090.24,32645.1925,3271118.069,2341040.004,779270.237,491793.181,1716199.288,653312.38,305139.005,1672881.472,1030918.107,1149447.582,32645.1925,355568,535264.543,499268.323,392738.364,288181.928,4877627.958,1015506.867,32645.1925,32645.1925,204779.967,314154.323,296447.426,573880.805,481405.64,32645.1925,316978.812,32645.1925,32645.1925,843755.312,32645.1925,32645.1925,358070.435,641973.075,32645.1925,17773756.46,4528604.615,611646.438,223959.325,204617.524,32645.1925,154475.666,521478.345,771634.2,2144658.743,364509.213,308697.815,10032806.135,2259649.11,32645.1925,3238645.758,887056.302,3457744.207,322572.68,32645.1925,1434540.754,314270.578,1016638.705,1413865.618,1357790.245,389364.847,702781.285,297155.836,2069349.492,103373.511,32645.1925,32645.1925,192081.84,408736.973,32645.1925,919600.632,11438600.296,3609938.727,1906550.559,1173060.446,533617.455,32645.1925,292975.825,839774.954,238866.837,4602424.454,1432046.086,1578863.861,2724873.815,32645.1925,292667.214,32645.1925,8508758.772,2315741.416,3910388.16,1042023.17,296463.629,32645.1925,7207719.96,1926872.193,362164.41,554774.054,1664767.015,32645.1925,39204399.701,10770418.005,2070889.532,225829.201,17052646.141,4937143.639,5791283.311,1717794.266,45173155.991,12705948.541,13562012.168,32645.1925,3944795.242,896020.551,768495.302,234954.499,34843620.879,10202789.382,25771082.811,7645209.568,22176009.817,6651031.779,1220560.843,2619153.62,22168870.659,6749949.426,4887450.443,32645.1925,1526934.673,2761014.187,1097981.368,882645.885,11134563.953,3435601.052,3239416.013,1073899.989,32645.1925,7089625.28,4249788.8,523208.965,561867.128,695894.598,5160645.56,245649.788,1718575.122,363812.704,415906.672,322001.88,407624.712,421423.821,32645.1925
"wt18","WT",32645.1925,1572679.161,32645.1925,277990.701,32645.1925,32645.1925,32645.1925,168524.487,32645.1925,32645.1925,150120.706,32645.1925,32645.1925,32645.1925,2267969.686,806746.588,573395.648,645526.705,1636414.366,343121.412,301177.067,1125530.492,32645.1925,810315.663,193570.525,32645.1925,450819.841,311566.8,32645.1925,230302.35,7685168.98,1678104.698,4208773.833,883721.247,285929.715,32645.1925,416275.222,403748.596,382402.714,32645.1925,511949.522,5672069.077,1187460.471,1435113.397,4694316.95,937418.302,360865.909,476072.639,3301294.562,32645.1925,3276619.294,32645.1925,32645.1925,251136.398,32645.1925,32645.1925,258986.27,272933.081,1938517.95,296741.986,155474.925,8963502.493,2003961.264,32645.1925,2423942.377,637453.74,3646832.885,32645.1925,1171788.146,1563407.46,343710.955,32645.1925,32645.1925,959959.109,279306.016,32645.1925,428490.414,1716650.13,287810.498,11628201.484,32645.1925,258999.619,322456.687,1673201.434,386864.379,11182703.104,32645.1925,2222892.7,32645.1925,603054.767,530128.939,292767.716,32645.1925,116900.378,4399067.99,1418936.497,1632516.193,32645.1925,32645.1925,470208.722,904380.338,8752916.382,2326307.974,3098663.598,857864.642,352944.199,32645.1925,6482971.733,1750445.478,324952.972,485690.796,677867.962,385146.108,39963992.137,10901524.16,2170905.561,32645.1925,32645.1925,32645.1925,3723910.607,1075706.013,31509861.22,8890655.716,4418648.479,32645.1925,1254268.833,1159243.209,748703.379,471972.049,31447353.196,9166782.185,2742565.672,6654378.109,32645.1925,32645.1925,32645.1925,32645.1925,14164274.813,4340520.281,2196042.666,915863.513,661848.775,1391468.02,1153315.105,435525.585,3746025.436,254877.465,2669599.897,852403.357,668067.419,32645.1925,32645.1925,32645.1925,531539.64,344389.681,3776656.185,32645.1925,1305691.928,32645.1925,32645.1925,250390.435,302588.656,32645.1925,1110252.337
"wt19","WT",69198.222,1275312.758,32645.1925,32645.1925,32645.1925,805533.2,139748.3,32645.1925,149872.756,145974.265,169945.459,292310.404,32645.1925,1865185.365,1798533.401,671217.808,577530.18,32645.1925,1250314.071,327247.192,32645.1925,32645.1925,32645.1925,859584.524,32645.1925,121584.975,323317.105,32645.1925,32645.1925,149743.806,4134979.779,32645.1925,2914424.79,636243.2,32645.1925,200939.74,32645.1925,412858.155,227057.789,32645.1925,32645.1925,4752615.703,947074.128,591752.315,2645818.716,557510.146,214432.218,342120.33,32645.1925,13440374.572,2910182.546,32645.1925,215002.221,32645.1925,127073.726,32645.1925,237846.961,446149.144,32645.1925,251609.306,125466.05,6327210.044,1404628.312,32645.1925,1712150.072,466716.983,3227975.365,165280.881,32645.1925,1610769.027,333494.979,32645.1925,896498.296,677888.858,203101.085,186350.81,650558.011,1641655.029,32645.1925,10756761.955,156450.918,32645.1925,195945.303,1562709.029,295901.813,8906813.727,1220814.245,2633887.044,396414.5,757021.326,32645.1925,80397.456,529271.426,32645.1925,2130744.371,32645.1925,1098277.488,32645.1925,32645.1925,311438.474,828449.181,6446999.265,1657923.072,2508631.186,682214.386,32645.1925,32645.1925,5271047.57,1396114.729,261192.479,388397.116,32645.1925,377995.116,35540615.958,9612165.459,2050346.22,204131.6,32645.1925,32645.1925,2558315.804,748842.65,21518577.842,6101089.417,2924411.78,1178809.771,837436.404,1015156.28,1495881.546,476728.808,26422761.603,8033288.68,20685193.581,6222587.325,32645.1925,32645.1925,32645.1925,32645.1925,9985522.956,3008564.614,1109154.829,624894.875,32645.1925,853520.6,953893.223,280536.067,2421430.6,32645.1925,2259496.92,725975.33,32645.1925,32645.1925,1299548.977,32645.1925,483456.874,32645.1925,2387020.481,99104.802,844783.484,301688.651,314015.492,32645.1925,457511.909,32645.1925,558365.62
"wt21","WT",153273.469,1356014.334,32645.1925,252874.011,256263.261,731777.647,139968.457,110170.73,32645.1925,32645.1925,130895.083,182876.531,32645.1925,32645.1925,1370601.441,573786.614,400051.298,1438254.446,1576059.463,424152.174,32645.1925,32645.1925,32645.1925,2251478.211,467150.935,247134.923,621911.13,144582.601,32645.1925,192635.85,4114991.639,823072.933,5453768.791,1163245.115,32645.1925,247976.865,32645.1925,385802.429,187019.35,32645.1925,32645.1925,7203558.865,1580626.576,763566.362,6391595.601,1164693.072,32645.1925,339368.227,2415701.395,15108077.326,3298613.411,524993.43,121967.758,146512.795,114163.62,32645.1925,32645.1925,382811.809,1753050.839,32645.1925,32645.1925,8737740.732,1879524.967,810665.234,1657051.083,436644.228,3285567.892,122884.362,740580.85,1355144.264,302289.929,32645.1925,808884.316,648895.563,194945.821,32645.1925,264918.505,1422532.591,32645.1925,7160707.132,282687.129,169402.106,32645.1925,1547095.938,318466.789,7670588.814,1236769.335,2700539.931,422852.62,838407.271,478209.628,136055.395,474139.061,176842.749,2138575.296,32645.1925,1078385.138,867737.561,32645.1925,341058.369,803904.302,5184218.663,1367031.614,2447538.831,674414.031,258240.224,32645.1925,4629567.33,1237338.99,234621.999,374965.72,516888.837,32645.1925,32440365.813,8794646.393,1879721.809,178856.843,8794519.077,32645.1925,2439061.416,699999.471,21911294.291,6293691.746,2717762.662,1244176.423,755977.897,715896.856,974677.203,172363.593,25738354.459,7467512.384,20468695.348,6040801.617,32645.1925,32645.1925,32645.1925,32645.1925,9767005.525,2934544.162,972781.669,618906.426,316320.333,766481.211,1171077.888,251104.052,2594298.992,32645.1925,1798415.501,614618.463,451062.409,3900790.102,32645.1925,239761.659,364380.95,627906.712,1723110.107,296017.619,590152.035,253018.245,283351.971,171472.528,541321.229,402913.197,767925.73
"wt22","WT",98144.28,1231442.16,172348.755,236728.16,206486.981,522916.137,95347.854,1352929.864,32645.1925,32645.1925,144776.875,32645.1925,11984043.84,2114477.76,1189252.715,32645.1925,576682.155,1364627.844,1336835.52,504934.247,263387.935,1501736.014,585316.92,1721307.284,374561.393,123431.55,32645.1925,32645.1925,32645.1925,211505.767,760122.819,32645.1925,1544977.303,380126.449,32645.1925,32645.1925,184970.519,297208.544,32645.1925,32645.1925,32645.1925,2631198.276,544591.99,32645.1925,1862776.405,381922.997,556986.677,328142.859,2138854.676,18737045.902,4092027.596,644033.317,176025.28,32645.1925,32645.1925,32645.1925,246931.896,521506.296,2204020.809,217405.325,32645.1925,8426676.801,1802965.953,884880.735,1517655.359,401560.019,2606604.102,193350.134,32645.1925,2022633.252,445468.649,881742.632,32645.1925,642441.709,193556.44,156146.47,614589.585,1186504.84,131298.839,5289514.721,330997.88,640714.523,239773.256,834756.6,237842.666,4852718.306,1448950.762,3080688.139,479482.659,922359.397,555184.445,267001.81,32645.1925,215947.035,2555248.61,809465.563,760159.836,692466.389,4911108.962,1255857.243,819482.188,32645.1925,1327832.633,2389184.805,701362.549,32645.1925,32645.1925,4094547.073,1124263.345,32645.1925,417547.087,32645.1925,506474.704,31877118.859,8567093.588,1241536.347,32645.1925,7132401.932,2035940.45,1903921.421,446090.857,17120652.806,4981963.937,2239913.181,1030136.024,675114.419,32645.1925,602614.283,223637.239,24710222.507,7264746.825,18468259.407,5435342.741,8877836.901,2696804.791,578212.901,537900.738,8308318.099,2580990.658,613506.001,32645.1925,32645.1925,556165.08,1371976.819,108871.137,1948250.074,638223.575,2071922.28,660894.805,502825.272,3707202.043,1210687.924,32645.1925,389258.969,632278.429,2083724.665,550424.853,704089.784,32645.1925,287626.655,261686.78,537119.311,400313.808,3588515.891
